50
138
14	5
18	7
19	4
15	3
19	1
19	4
17	1
17	3
15	2
14	4
17	8
13	9
10	5
20	2
20	8
16	7
19	10
19	2
17	9
11	6
12	4
18	5
19	9
20	5
15	1
14	7
14	1
20	9
14	9
14	8
20	6
17	9
14	6
20	3
17	9
18	9
17	3
15	3
19	8
12	4
12	9
12	5
12	6
10	4
19	5
15	5
19	9
12	3
15	4
14	8
12	4
15	5
18	3
14	4
17	4
11	3
11	6
11	8
13	6
20	6
15	3
16	4
17	8
13	2
16	1
19	6
15	6
17	2
16	9
12	6
16	8
14	5
11	7
13	2
19	9
15	5
19	1
12	6
17	9
16	3
17	4
18	3
18	1
14	5
19	2
17	2
15	7
10	9
18	6
18	3
13	8
15	3
16	9
12	3
19	7
20	5
19	4
11	4
11	6
11	4
17	4
20	7
13	8
15	1
19	10
16	9
16	4
18	3
17	10
12	8
16	8
14	9
17	7
14	2
16	2
17	1
15	2
17	1
12	4
15	4
10	1
18	5
16	9
11	5
13	1
12	6
20	8
12	3
13	6
18	9
15	10
18	1
18	5
11	7
11	4
13	7
15	7
20	1
12	5
16	6
16	8
11	3
11	9
17	7
18	6
13	2
15	6
14	5
17	8
10	5
16	2
10	5
19	3
19	7
16	5
13	6
19	5
15	10
18	9
10	3
14	8
18	7
13	3
17	9
18	4
19	4
14	3
13	5
17	4
20	7
17	2
19	5
14	6
13	8
14	10
11	3
16	5
18	10
14	2
14	10
15	2
20	2
16	5
13	6
15	8
13	6
13	7
12	4
20	4
10	7
17	5
15	4
13	10
11	3
19	1
19	6
19	9
13	3
16	7
15	1
17	8
11	1
11	4
11	2
16	4
20	4
14	2
17	9
17	5
20	3
15	2
14	8
11	8
17	7
10	3
16	7
14	7
19	5
13	4
12	4
11	7
17	1
11	7
16	5
20	10
13	8
16	6
13	3
15	3
11	9
17	5
15	10
11	10
10	4
19	4
16	5
10	3
15	9
12	9
13	3
18	8
18	6
14	2
17	7
14	3
17	4
14	1
14	6
17	8
19	6
18	6
15	5
20	4
19	3
20	5
12	6
10	6
17	8
13	9
10	5
10	5
14	9
12	8
10	7
18	10
16	7
18	5
13	2
12	4
14	4
19	3
13	5
10	4
13	9
12	2
12	8
12	10
18	3
19	7
13	9
18	2
15	7
16	2
16	2
18	2
11	2
10	2
15	4
17	9
18	6
14	9
12	4
15	10
15	2
11	7
14	8
20	4
20	2
16	10
15	7
18	6
17	2
12	7
10	2
16	7
11	4
16	6
17	7
18	6
14	4
14	5
20	2
15	6
12	9
15	2
19	6
10	6
17	9
15	9
16	8
17	6
20	1
14	4
13	4
20	3
11	4
12	4
12	6
11	6
12	3
12	6
14	3
13	6
15	10
14	1
19	8
19	10
12	6
10	10
20	8
16	2
13	2
17	5
12	5
15	3
18	7
12	4
19	6
15	7
18	7
14	5
10	9
16	3
11	10
15	4
18	6
18	7
16	6
11	7
12	9
17	6
16	5
18	9
12	1
17	7
10	9
15	9
10	9
17	2
14	4
17	7
20	7
14	4
13	8
17	5
13	9
19	7
17	10
16	5
17	2
11	10
11	7
17	10
13	3
10	1
12	6
13	9
15	9
12	5
15	8
17	9
18	5
13	2
14	2
12	4
12	8
18	9
11	10
10	6
16	8
12	2
18	9
18	7
16	3
14	7
15	5
13	4
20	5
12	2
17	5
10	2
18	5
17	3
14	6
15	4
17	2
13	5
14	7
17	7
11	8
19	2
11	4
20	9
17	1
18	4
14	5
10	6
19	2
15	5
17	6
19	8
14	9
12	8
13	10
19	10
15	4
18	1
13	1
12	8
12	9
12	9
18	9
17	6
15	10
15	2
19	6
15	5
19	6
14	7
15	6
18	6
12	6
15	10
11	7
17	5
13	2
15	8
15	5
18	6
16	9
14	1
17	1
11	1
14	5
11	6
18	5
11	5
19	5
11	1
10	6
17	1
19	4
19	10
19	7
12	3
17	7
14	8
11	6
13	5
14	10
11	2
16	9
19	3
19	2
11	2
14	2
16	7
19	5
14	7
13	7
15	8
18	10
14	3
13	6
19	4
12	7
11	8
16	4
16	4
11	2
